SampleID	Stage	Reads
BO1_110SI_110PR_042024_SI_IX_S411_L006	Input	2269412
BO1_110SI_110PR_042024_SI_IX_S411_L006	No Dimers	2237611
BO1_110SI_110PR_042024_SI_IX_S411_L006	Amplicons	2222703
BO1_110SI_110PR_042024_SI_IX_S411_L006	OutputDada2	349
BO1_110SI_110PR_042024_SI_IX_S411_L006	OutputPostprocessing	344
C01_11SI_110PR_042024_SI_IX_S412_L006	Input	1755913
C01_11SI_110PR_042024_SI_IX_S412_L006	No Dimers	1722010
C01_11SI_110PR_042024_SI_IX_S412_L006	Amplicons	1709774
C01_11SI_110PR_042024_SI_IX_S412_L006	OutputDada2	485
C01_11SI_110PR_042024_SI_IX_S412_L006	OutputPostprocessing	477
C02_11SI_1100PR_042024_SI_IX_S413_L006	Input	1058436
C02_11SI_1100PR_042024_SI_IX_S413_L006	No Dimers	1022686
C02_11SI_1100PR_042024_SI_IX_S413_L006	Amplicons	1017129
C02_11SI_1100PR_042024_SI_IX_S413_L006	OutputDada2	736701
C02_11SI_1100PR_042024_SI_IX_S413_L006	OutputPostprocessing	696799
C03_11SI_1250PR_042024_SI_IX_S414_L006	Input	2429344
C03_11SI_1250PR_042024_SI_IX_S414_L006	No Dimers	2425941
C03_11SI_1250PR_042024_SI_IX_S414_L006	Amplicons	2417845
C03_11SI_1250PR_042024_SI_IX_S414_L006	OutputDada2	2099475
C03_11SI_1250PR_042024_SI_IX_S414_L006	OutputPostprocessing	1972909
C04_11SI_11000PR_042024_SI_IX_S415_L006	Input	2291410
C04_11SI_11000PR_042024_SI_IX_S415_L006	No Dimers	2286667
C04_11SI_11000PR_042024_SI_IX_S415_L006	Amplicons	2278250
C04_11SI_11000PR_042024_SI_IX_S415_L006	OutputDada2	1980455
C04_11SI_11000PR_042024_SI_IX_S415_L006	OutputPostprocessing	1873880
C05_11SI_12000PR_042024_SI_IX_S416_L006	Input	1834940
C05_11SI_12000PR_042024_SI_IX_S416_L006	No Dimers	1830101
C05_11SI_12000PR_042024_SI_IX_S416_L006	Amplicons	1824835
C05_11SI_12000PR_042024_SI_IX_S416_L006	OutputDada2	1603181
C05_11SI_12000PR_042024_SI_IX_S416_L006	OutputPostprocessing	1520349
C06_0SI_110PR_042024_SI_IX_S417_L006	Input	2347135
C06_0SI_110PR_042024_SI_IX_S417_L006	No Dimers	2342731
C06_0SI_110PR_042024_SI_IX_S417_L006	Amplicons	2335327
C06_0SI_110PR_042024_SI_IX_S417_L006	OutputDada2	2027627
C06_0SI_110PR_042024_SI_IX_S417_L006	OutputPostprocessing	1906560
C07_Neg_11SI_110PR_042024_SI_IX_S418_L006	Input	2704686
C07_Neg_11SI_110PR_042024_SI_IX_S418_L006	No Dimers	2687487
C07_Neg_11SI_110PR_042024_SI_IX_S418_L006	Amplicons	2669653
C07_Neg_11SI_110PR_042024_SI_IX_S418_L006	OutputDada2	71
C07_Neg_11SI_110PR_042024_SI_IX_S418_L006	OutputPostprocessing	69
C08_0SI_0PR_042024_SI_IX_S419_L006	Input	1497903
C08_0SI_0PR_042024_SI_IX_S419_L006	No Dimers	1495786
C08_0SI_0PR_042024_SI_IX_S419_L006	Amplicons	1490372
C08_0SI_0PR_042024_SI_IX_S419_L006	OutputDada2	1294133
C08_0SI_0PR_042024_SI_IX_S419_L006	OutputPostprocessing	1219523
D01_110SI_110PR_042024_SI_IX_S420_L006	Input	2130990
D01_110SI_110PR_042024_SI_IX_S420_L006	No Dimers	2110036
D01_110SI_110PR_042024_SI_IX_S420_L006	Amplicons	2095366
D01_110SI_110PR_042024_SI_IX_S420_L006	OutputDada2	744
D01_110SI_110PR_042024_SI_IX_S420_L006	OutputPostprocessing	726
D02_110SI_1100PR_042024_SI_IX_S421_L006	Input	1923506
D02_110SI_1100PR_042024_SI_IX_S421_L006	No Dimers	1914199
D02_110SI_1100PR_042024_SI_IX_S421_L006	Amplicons	1908145
D02_110SI_1100PR_042024_SI_IX_S421_L006	OutputDada2	1675027
